=================================================
 RISC-V Multicycle Core Simulation Started
=================================================
VCD info: dumpfile /var/www/html/beta/v1/editor/efs-users/2063/w/design/testbench/testbench.vcd opened for output.
Time: 25000 ns | PC: 00400000 | ALU_Out: 00400004
Time: 35000 ns | PC: 00400004 | ALU_Out: 00400008
Time: 75000 ns | PC: 00400008 | ALU_Out: 0040000c
Time: 115000 ns | PC: 0040000c | ALU_Out: 00400010
Time: 155000 ns | PC: 00400010 | ALU_Out: 00400014
Time: 195000 ns | PC: 00400014 | ALU_Out: 00400018
Time: 235000 ns | PC: 00400018 | ALU_Out: 0040001c
Time: 275000 ns | PC: 0040001c | ALU_Out: 00400020
Time: 315000 ns | PC: 00400020 | ALU_Out: 00400024
Time: 355000 ns | PC: 00400024 | ALU_Out: 00400028
Time: 395000 ns | PC: 00400028 | ALU_Out: 0040002c
Time: 435000 ns | PC: 0040002c | ALU_Out: 00400030
Time: 475000 ns | PC: 00400030 | ALU_Out: 00400034
Time: 515000 ns | PC: 00400034 | ALU_Out: 00400038
Time: 555000 ns | PC: 00400038 | ALU_Out: 0040003c
Time: 595000 ns | PC: 0040003c | ALU_Out: 00400040
Time: 635000 ns | PC: 00400040 | ALU_Out: 00400044
Time: 675000 ns | PC: 00400044 | ALU_Out: 00400048
Time: 715000 ns | PC: 00400048 | ALU_Out: 0040004c
Time: 755000 ns | PC: 0040004c | ALU_Out: 00400050
Time: 795000 ns | PC: 00400050 | ALU_Out: 00400054
Time: 835000 ns | PC: 00400054 | ALU_Out: 00400058
Time: 875000 ns | PC: 00400058 | ALU_Out: 0040005c
Time: 915000 ns | PC: 0040005c | ALU_Out: 00400060
Time: 955000 ns | PC: 00400060 | ALU_Out: 00400064
Time: 995000 ns | PC: 00400064 | ALU_Out: 00400068
Time: 1035000 ns | PC: 00400068 | ALU_Out: 0040006c
Time: 1075000 ns | PC: 0040006c | ALU_Out: 00400070
Time: 1115000 ns | PC: 00400070 | ALU_Out: 00400074
Time: 1155000 ns | PC: 00400074 | ALU_Out: 00400078
Time: 1195000 ns | PC: 00400078 | ALU_Out: 0040007c
Time: 1235000 ns | PC: 0040007c | ALU_Out: 00400080
Time: 1275000 ns | PC: 00400080 | ALU_Out: 00400084
Time: 1315000 ns | PC: 00400084 | ALU_Out: 00400088
Time: 1355000 ns | PC: 00400088 | ALU_Out: 0040008c
Time: 1395000 ns | PC: 0040008c | ALU_Out: 00400090
Time: 1435000 ns | PC: 00400090 | ALU_Out: 00400094
Time: 1475000 ns | PC: 00400094 | ALU_Out: 00400098
Time: 1515000 ns | PC: 00400098 | ALU_Out: 0040009c
Time: 1555000 ns | PC: 0040009c | ALU_Out: 004000a0
Time: 1595000 ns | PC: 004000a0 | ALU_Out: 004000a4
Time: 1635000 ns | PC: 004000a4 | ALU_Out: 004000a8
Time: 1675000 ns | PC: 004000a8 | ALU_Out: 004000ac
Time: 1715000 ns | PC: 004000ac | ALU_Out: 004000b0
Time: 1755000 ns | PC: 004000b0 | ALU_Out: 004000b4
Time: 1795000 ns | PC: 004000b4 | ALU_Out: 004000b8
Time: 1835000 ns | PC: 004000b8 | ALU_Out: 004000bc
Time: 1875000 ns | PC: 004000bc | ALU_Out: 004000c0
Time: 1915000 ns | PC: 004000c0 | ALU_Out: 004000c4
Time: 1955000 ns | PC: 004000c4 | ALU_Out: 004000c8
Time: 1995000 ns | PC: 004000c8 | ALU_Out: 004000cc
Time: 2035000 ns | PC: 004000cc | ALU_Out: 004000d0
Time: 2075000 ns | PC: 004000d0 | ALU_Out: 004000d4
Time: 2115000 ns | PC: 004000d4 | ALU_Out: 004000d8
Time: 2155000 ns | PC: 004000d8 | ALU_Out: 004000dc
Time: 2195000 ns | PC: 004000dc | ALU_Out: 004000e0
Time: 2235000 ns | PC: 004000e0 | ALU_Out: 004000e4
Time: 2275000 ns | PC: 004000e4 | ALU_Out: 004000e8
Time: 2315000 ns | PC: 004000e8 | ALU_Out: 004000ec
Time: 2355000 ns | PC: 004000ec | ALU_Out: 004000f0
Time: 2395000 ns | PC: 004000f0 | ALU_Out: 004000f4
Time: 2435000 ns | PC: 004000f4 | ALU_Out: 004000f8
Time: 2475000 ns | PC: 004000f8 | ALU_Out: 004000fc
Time: 2515000 ns | PC: 004000fc | ALU_Out: 00400100
Time: 2555000 ns | PC: 00400100 | ALU_Out: 00400104
Time: 2595000 ns | PC: 00400104 | ALU_Out: 00400108
Time: 2635000 ns | PC: 00400108 | ALU_Out: 0040010c
Time: 2675000 ns | PC: 0040010c | ALU_Out: 00400110
Time: 2715000 ns | PC: 00400110 | ALU_Out: 00400114
